date,store_id,product_id,promotion_id,qty,revenue
2025-01-01,S001,P001,PROMO00,71,1241.79
2025-01-01,S002,P001,PROMO00,83,1451.67
2025-01-01,S003,P001,PROMO00,39,682.11
2025-01-01,S004,P001,PROMO00,42,734.58
2025-01-01,S005,P001,PROMO00,43,752.07
2025-01-01,S001,P002,PROMO00,151,3720.64
2025-01-01,S002,P002,PROMO00,176,4336.64
2025-01-01,S003,P002,PROMO00,79,1946.56
2025-01-01,S004,P002,PROMO00,87,2143.68
2025-01-01,S005,P002,PROMO00,94,2316.16
2025-01-01,S001,P003,PROMO00,103,2259.82
2025-01-01,S002,P003,PROMO00,72,1579.68
2025-01-01,S003,P003,PROMO00,52,1140.88
2025-01-01,S004,P003,PROMO00,51,1118.94
2025-01-01,S005,P003,PROMO00,42,921.48
2025-01-01,S001,P004,PROMO00,175,4028.5
2025-01-01,S002,P004,PROMO00,151,3476.02
2025-01-01,S003,P004,PROMO00,81,1864.62
2025-01-01,S004,P004,PROMO00,83,1910.66
2025-01-01,S005,P004,PROMO00,88,2025.76
2025-01-01,S001,P005,PROMO00,76,1865.8
2025-01-01,S002,P005,PROMO00,88,2160.4
2025-01-01,S003,P005,PROMO00,49,1202.95
2025-01-01,S004,P005,PROMO00,56,1374.8
2025-01-01,S005,P005,PROMO00,47,1153.85
2025-01-01,S001,P006,PROMO00,167,2202.73
2025-01-01,S002,P006,PROMO00,175,2308.25
2025-01-01,S003,P006,PROMO00,95,1253.05
2025-01-01,S004,P006,PROMO00,89,1173.91
2025-01-01,S005,P006,PROMO00,66,870.54
2025-01-01,S001,P007,PROMO00,119,2960.72
2025-01-01,S002,P007,PROMO00,108,2687.04
2025-01-01,S003,P007,PROMO00,57,1418.16
2025-01-01,S004,P007,PROMO00,59,1467.92
2025-01-01,S005,P007,PROMO00,52,1293.76
2025-01-01,S001,P008,PROMO00,86,1252.16
2025-01-01,S002,P008,PROMO00,84,1223.04
2025-01-01,S003,P008,PROMO00,40,582.4
2025-01-01,S004,P008,PROMO00,43,626.08
2025-01-01,S005,P008,PROMO00,50,728.0
2025-01-01,S001,P009,PROMO00,57,1439.25
2025-01-01,S002,P009,PROMO00,61,1540.25
2025-01-01,S003,P009,PROMO00,27,681.75
2025-01-01,S004,P009,PROMO00,31,782.75
2025-01-01,S005,P009,PROMO00,34,858.5
2025-01-01,S001,P010,PROMO00,77,2709.63
2025-01-01,S002,P010,PROMO00,72,2533.68
2025-01-01,S003,P010,PROMO00,34,1196.46
2025-01-01,S004,P010,PROMO00,37,1302.03
2025-01-01,S005,P010,PROMO00,31,1090.89
2025-01-01,S001,P011,PROMO00,50,2954.0
2025-01-01,S002,P011,PROMO00,36,2126.88
2025-01-01,S003,P011,PROMO00,25,1477.0
